temperaturaArma,anguloArma,atirou
2.9,40.11,0
2.8,10.99,0
2.7,0.17,0
2.6,0.17,0
2.5,0.16,0
2.4,0.13,0
2.3,0.09,0
2.2,0.03,0
2.1,0.03,0
2.0,0.09,0
1.9,0.16,0
1.8,0.23,0
1.7,0.3,0
1.6,0.37,0
1.5,0.44,0
1.4,0.52,0
1.3,0.59,0
1.2,0.66,0
1.1,0.73,0
1.0,0.79,0
0.9,0.86,0
0.8,0.91,0
0.7,0.96,0
0.6,1.0,0
0.5,1.04,0
0.4,1.04,0
0.3,1.05,0
0.2,1.05,0
0.1,1.06,0
1.09,1.06,1
0.99,2.14,0
0.89,2.15,0
0.79,2.14,0
0.69,0.15,0
0.59,0.4,0
0.49,0.66,0
0.39,0.8,0
0.29,0.82,0
0.19,0.8,0
0.09,0.15,0
1.1,0.41,1
1.0,16.28,0
0.9,0.7,0
0.8,2.83,0
0.7,10.38,0
0.6,11.56,0
0.5,0.53,0
0.4,4.0,0
0.3,7.36,0
0.2,2.35,0
0.1,3.49,0
0.0,6.28,0
1.44,0.41,1
1.34,2.75,0
1.24,6.44,0
1.14,1.15,0
1.04,3.56,0
0.94,7.54,0
0.84,5.62,0
0.74,0.23,0
0.64,4.13,0
0.54,2.16,0
0.44,3.74,0
0.24,11.82,0
0.14,1.04,0
0.04,1.07,0
1.1,1.09,1
1.0,2.19,0
0.9,2.21,0
0.8,1.12,0
0.7,0.02,0
0.6,0.01,0
0.5,1.11,0
0.4,2.24,0
0.3,2.26,0
0.2,1.17,0
0.1,0.04,0
1.11,0.02,1
1.01,2.31,0
0.91,2.34,0
0.81,1.18,0
0.71,1.19,0
0.61,1.19,0
0.51,1.2,0
0.41,1.21,0
0.31,1.21,0
0.21,2.6,0
0.11,1.22,0
0.01,0.07,0
1.16,1.05,1
1.06,0.73,0
0.96,0.62,0
0.86,1.76,0
0.76,1.65,0
0.66,0.5,0
0.56,0.4,0
0.46,0.11,0
0.36,1.15,0
0.26,2.18,0
0.16,2.01,0
0.06,0.88,0
1.29,0.01,1
1.19,1.66,0
1.09,3.15,0
0.99,3.11,0
0.89,1.73,0
0.79,0.58,0
0.69,1.05,0
0.59,3.0,0
0.49,1.83,0
0.39,10.61,0
0.29,1.34,0
0.19,2.24,0
0.09,3.35,0
0.0,4.73,0
0.0,6.49,0
0.0,8.67,0
0.0,11.11,0
0.0,35.16,0
0.0,22.23,0
0.0,9.32,0
0.0,3.57,0
0.0,2.89,0
0.0,2.26,0
1.5,1.7,1
1.4,5.19,0
1.3,0.73,0
1.2,0.33,0
1.1,0.01,0
1.0,0.3,0
0.9,0.14,0
0.8,0.01,0
0.7,0.15,0
0.6,0.27,0
0.5,0.38,0
0.4,7.52,0
0.3,1.66,0
0.2,2.23,0
0.1,1.83,0
0.0,4.18,0
1.33,0.59,1
1.13,36.08,0
1.03,8.6,0
0.93,1.63,0
0.83,2.05,0
0.73,2.21,0
0.63,2.35,0
0.53,2.43,0
0.43,2.46,0
0.33,2.48,0
0.23,2.51,0
0.13,2.54,0
0.03,2.56,0
0.0,2.59,0
0.0,2.62,0
0.0,2.65,0
0.0,2.68,0
0.0,2.71,0
0.0,2.75,0
0.0,2.78,0
0.0,2.81,0
0.0,2.84,0
0.0,2.88,0
0.0,2.92,0
0.0,2.95,0
0.0,2.99,0
0.0,2.26,0
1.45,1.52,1
1.35,2.29,0
1.25,0.77,0
1.15,1.9,0
1.05,3.41,0
0.95,2.63,0
0.85,0.72,0
0.75,0.04,0
0.65,1.44,0
0.55,4.0,0
0.45,4.32,0
0.35,1.39,0
0.25,2.57,0
0.15,4.14,0
0.05,2.11,0
1.42,1.15,1
1.32,0.39,0
1.22,2.78,0
1.12,5.6,0
1.02,4.43,0
