direcao;Edirecao;Eangulo;Evelocidade;Edistancia;Dependente
234,51;134,60;66,25;1,00;55,01;0,00
244,51;134,60;65,73;2,00;53,07;1,00
262,26;153,10;49,58;-1,00;52,05;1,00
277,01;170,85;42,02;-3,00;50,61;1,00
288,76;185,60;43,88;-5,00;48,66;0,00
304,26;197,35;45,40;-7,00;54,17;0,00
323,51;206,10;35,78;-8,00;67,58;0,00
339,76;214,10;24,07;-8,00;84,57;0,00
353,01;222,10;14,32;-8,00;105,24;1,00
10,01;230,10;5,68;-8,00;120,64;1,00
28,51;238,10;-7,96;-8,00;129,57;0,00
47,39;246,10;-21,25;-8,00;141,31;0,00
63,26;260,10;-35,64;1,00;149,69;0,00
76,14;277,85;-49,23;3,00;154,83;0,00
86,01;281,28;-59,68;5,00;160,44;0,00
94,01;282,22;-67,61;7,00;164,69;0,00
102,01;282,30;-75,75;8,00;166,41;0,00
102,01;282,26;-83,73;8,00;165,93;0,00
89,51;281,60;-76,31;8,00;165,32;0,00
71,01;278,12;-65,66;8,00;163,55;0,00
53,26;272,27;-52,87;8,00;159,42;0,00
38,51;268,89;-44,24;8,00;153,10;0,00
24,67;260,89;-39,09;8,00;145,49;0,00
26,17;252,89;-30,46;8,00;141,58;0,00
44,33;244,89;-55,19;8,00;141,38;0,00
79,14;234,78;-119,59;-2,00;146,45;0,00
74,12;231,46;-120,65;-3,00;149,66;0,00
59,58;238,41;-108,27;-5,00;151,14;0,00
31,06;247,06;-61,50;-8,00;145,95;0,00
30,31;249,57;-50,44;-8,00;143,07;0,00
49,32;254,84;-61,52;-8,00;140,68;0,00
66,06;262,16;-71,61;-8,00;139,80;0,00
79,81;270,16;-76,98;-8,00;139,55;0,00
89,45;278,16;-76,60;-8,00;140,51;0,00
96,83;286,16;-72,37;-8,00;144,05;0,00
104,83;294,16;-68,20;-8,00;150,17;0,00
104,83;302,16;-64,78;-8,00;158,34;0,00
83,83;315,57;-26,28;-6,00;171,07;0,00
83,08;317,55;-15,06;-4,00;170,84;0,00
101,58;319,50;-32,93;0,00;172,92;0,00
181,14;302,76;-142,07;8,00;181,97;0,00
181,89;299,08;-151,28;8,00;186,64;0,00
173,71;291,92;-149,38;8,00;197,70;0,00
165,71;284,82;-148,31;8,00;208,80;1,00
157,71;278,04;-146,96;8,00;219,70;1,00
149,71;271,51;-145,37;8,00;230,34;1,00
141,71;265,20;-143,60;8,00;240,69;1,00
133,71;259,06;-141,65;8,00;250,70;1,00
125,71;253,08;-139,57;8,00;260,34;1,00
117,71;247,22;-137,38;8,00;269,56;1,00
109,71;244,33;-134,68;6,00;278,89;1,00
101,71;256,83;-130,33;2,00;289,81;1,00
93,71;262,54;-124,68;-1,00;298,78;1,00
85,71;244,79;-118,38;-3,00;306,14;1,00
77,71;250,13;-111,46;-5,00;311,36;1,00
69,71;256,50;-103,99;-7,00;312,01;1,00
61,71;247,75;-96,01;-8,00;311,45;1,00
53,71;247,65;-88,03;-8,00;309,51;1,00
45,71;253,66;-80,08;-8,00;303,70;0,00
15,71;251,10;-40,06;-8,00;299,92;0,00
355,71;255,10;-28,54;-8,00;298,71;0,00
337,96;261,16;-6,36;-8,00;292,58;1,00
331,59;264,44;15,67;-8,00;270,64;1,00
335,59;271,27;20,12;-8,00;253,48;1,00
343,59;272,66;16,90;-8,00;235,81;1,00
351,59;278,53;13,31;-6,00;218,39;1,00
359,59;266,03;7,58;-2,00;202,71;1,00
7,59;263,32;-0,59;1,00;186,55;1,00
15,59;262,16;-10,87;3,00;169,90;0,00
57,84;230,60;-94,47;8,00;143,40;0,00
53,37;226,60;-87,66;8,00;142,68;0,00
55,71;218,60;-98,41;8,00;140,43;0,00
48,71;212,92;-104,46;8,00;136,36;0,00
41,80;210,01;-98,13;8,00;132,21;0,00
33,67;208,78;-88,22;8,00;129,36;0,00
35,45;208,87;-84,76;8,00;128,03;0,00
39,45;208,96;-86,44;8,00;126,22;0,00
43,01;209,07;-91,58;8,00;123,15;0,00
41,43;209,17;-93,79;8,00;119,30;0,00
37,64;209,28;-92,10;8,00;115,91;0,00
35,54;209,39;-88,19;8,00;113,61;0,00
37,35;209,50;-85,99;8,00;111,93;0,00
41,35;215,00;-84,66;4,00;111,35;0,00
45,36;230,50;-81,53;-0,00;112,57;0,00
50,69;249,75;-77,38;-2,00;114,32;0,00
57,84;253,18;-73,33;-4,00;116,81;0,00
65,84;260,51;-68,67;-6,00;121,35;0,00
77,84;278,76;-58,62;-8,00;136,09;0,00
95,67;286,76;-59,26;-8,00;141,46;0,00
110,42;294,76;-66,66;-8,00;146,78;0,00
122,17;302,76;-69,91;-8,00;153,24;0,00
122,92;310,76;-69,28;-8,00;161,50;0,00
101,92;326,76;-30,43;-8,00;176,18;0,00
82,67;330,76;-17,99;-8,00;176,89;0,00
64,67;346,76;20,53;-8,00;168,02;0,00
70,17;345,20;23,34;-6,00;163,64;0,00
85,67;349,85;13,55;-2,00;159,02;0,00
99,22;350,72;-5,28;1,00;159,85;0,00
108,10;349,66;-10,73;3,00;157,05;0,00
